pID,condition,question,answer,reason
15,smallmultiples_shadowmarks_overlays,accuracy,Shadow Marks,I could compare the outliers from each plot at once
15,smallmultiples_shadowmarks_overlays,preference,Shadow Marks,I could compare the outliers from each plot at once
16,smallmultiples_overlays_shadowmarks,speed,Small Multiples,It was the easiest to understand what to do. 
16,smallmultiples_overlays_shadowmarks,accuracy,Overlays,It was easier to see all the pictures and how the were different.
16,smallmultiples_overlays_shadowmarks,preference,Small Multiples,This technique was the easiest for me to use.
17,smallmultiples_shadowmarks_overlays,speed,,
17,smallmultiples_shadowmarks_overlays,accuracy,,
17,smallmultiples_shadowmarks_overlays,preference,,
18,overlays_smallmultiples_shadowmarks,speed,Shadow Marks,I could place a line close to the top of one of them then just compare in my head the distance from that line to other plot points in the other graphs
18,overlays_smallmultiples_shadowmarks,accuracy,Overlays,Overlays allow me to see more accurately where a plot point is due to the nature of the method.
18,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,It's just easier for me.
19,overlays_shadowmarks_smallmultiples,speed,,
19,overlays_shadowmarks_smallmultiples,accuracy,,
19,overlays_shadowmarks_smallmultiples,preference,,
20,shadowmarks_smallmultiples_overlays,speed,,
20,shadowmarks_smallmultiples_overlays,accuracy,,
20,shadowmarks_smallmultiples_overlays,preference,,
21,shadowmarks_overlays_smallmultiples,speed,Overlays,I think the overlay was by far the easiest as it took out the physical aspect.
21,shadowmarks_overlays_smallmultiples,accuracy,Overlays,I felt this was on par with shadow marks but the fact it was in one place made it slightly better.
21,shadowmarks_overlays_smallmultiples,preference,Overlays,By far the least taxing physically and mentally.
22,smallmultiples_overlays_shadowmarks,speed,,
22,smallmultiples_overlays_shadowmarks,accuracy,,
22,smallmultiples_overlays_shadowmarks,preference,,
23,smallmultiples_shadowmarks_overlays,speed,,
23,smallmultiples_shadowmarks_overlays,accuracy,,
23,smallmultiples_shadowmarks_overlays,preference,,
24,overlays_smallmultiples_shadowmarks,speed,Small Multiples,"Not sure if I was lucky, but it seemed easy to eyeball which plot had the highest outlier without any tool. But I did not feel as confident about my picks than I was with the slower, but more reliable shadow marks."
24,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,"It was slow to be pixel precise with the mouse, but I had a much higher confidence that no other outliers were above my selection."
24,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,"It's slower, but it takes the guessing out of the equation."
25,overlays_smallmultiples_shadowmarks,speed,,
25,overlays_smallmultiples_shadowmarks,accuracy,,
25,overlays_smallmultiples_shadowmarks,preference,,
26,overlays_shadowmarks_smallmultiples,speed,,
26,overlays_shadowmarks_smallmultiples,accuracy,,
26,overlays_shadowmarks_smallmultiples,preference,,
27,shadowmarks_smallmultiples_overlays,speed,Overlays,"It helped me to see differences visually within few seconds, then I just had to compare boxes few times just to make sure I'm selecting a correct box with higher outlier"
27,shadowmarks_smallmultiples_overlays,accuracy,Shadow Marks,"The lines helped me to see the correct answer, but it took more time to find an outlier I think was the highest, then I was looking through all the boxes to make sure it is the highest one"
27,shadowmarks_smallmultiples_overlays,preference,Overlays,"I didn't need to look for the highest outlier manually, I just clicked on 'the eye' and visually compared what I saw. For me it seemed like less work"
28,shadowmarks_overlays_smallmultiples,speed,,
28,shadowmarks_overlays_smallmultiples,accuracy,,
28,shadowmarks_overlays_smallmultiples,preference,,
29,overlays_shadowmarks_smallmultiples,speed,Overlays,It made comparing each diagram with the next easily.
29,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,It made it easier to have a way to mark and compare each diagram
29,overlays_shadowmarks_smallmultiples,preference,Shadow Marks,I prefer this the most because it gives the highest accuracy.
30,shadowmarks_smallmultiples_overlays,speed,,
30,shadowmarks_smallmultiples_overlays,accuracy,,
30,shadowmarks_smallmultiples_overlays,preference,,
31,shadowmarks_overlays_smallmultiples,speed,,
31,shadowmarks_overlays_smallmultiples,accuracy,,
31,shadowmarks_overlays_smallmultiples,preference,,
32,shadowmarks_overlays_smallmultiples,speed,,
32,shadowmarks_overlays_smallmultiples,accuracy,,
32,shadowmarks_overlays_smallmultiples,preference,,
33,smallmultiples_overlays_shadowmarks,speed,,
33,smallmultiples_overlays_shadowmarks,accuracy,,
33,smallmultiples_overlays_shadowmarks,preference,,
34,smallmultiples_shadowmarks_overlays,speed,Overlays,It was easier to compare the plots.
34,smallmultiples_shadowmarks_overlays,accuracy,Overlays,Easier comparison
34,smallmultiples_shadowmarks_overlays,preference,Overlays,Easier to compare two graphs instead of trying to look at all of them at once.
35,shadowmarks_overlays_smallmultiples,speed,,
35,shadowmarks_overlays_smallmultiples,accuracy,,
35,shadowmarks_overlays_smallmultiples,preference,,
36,,speed,,
36,,accuracy,,
36,,preference,,
37,shadowmarks_smallmultiples_overlays,speed,Shadow Marks,It was easy to scan all of the plots together to determine which plot had the highest outlier
37,shadowmarks_smallmultiples_overlays,accuracy,Shadow Marks,With shadow marks I could see the plots all at once. There was no need to double check another plot once I made my choice
37,shadowmarks_smallmultiples_overlays,preference,Shadow Marks,It was the easiest to use and gave me the most confidence in my answers
38,overlays_shadowmarks_smallmultiples,speed,,
38,overlays_shadowmarks_smallmultiples,accuracy,,
38,overlays_shadowmarks_smallmultiples,preference,,
39,overlays_shadowmarks_smallmultiples,speed,Shadow Marks,It very quickly enabled to identify the highest outlier
39,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,So clear with the lines
39,overlays_shadowmarks_smallmultiples,preference,Shadow Marks,Easy and accurate
40,overlays_smallmultiples_shadowmarks,speed,,
40,overlays_smallmultiples_shadowmarks,accuracy,,
40,overlays_smallmultiples_shadowmarks,preference,,
41,shadowmarks_smallmultiples_overlays,speed,Overlays,"I could compare them not side by side, but on top of one another to find a more accurate response."
41,shadowmarks_smallmultiples_overlays,accuracy,Overlays,"I could compare them not side by side, but on top of one another to find a more accurate response."
41,shadowmarks_smallmultiples_overlays,preference,Overlays,"I could compare them not side by side, but on top of one another to find a more accurate response. For this reason, I prefer it the most."
42,smallmultiples_overlays_shadowmarks,speed,Small Multiples,It was less complex.
42,smallmultiples_overlays_shadowmarks,accuracy,Small Multiples,There were fewer steps to take.
42,smallmultiples_overlays_shadowmarks,preference,Small Multiples,It was easier.
43,smallmultiples_overlays_shadowmarks,speed,,
43,smallmultiples_overlays_shadowmarks,accuracy,,
43,smallmultiples_overlays_shadowmarks,preference,,
44,smallmultiples_shadowmarks_overlays,speed,Small Multiples,Less variables and factors involved.  Much simpler to accomplish as a result.
44,smallmultiples_shadowmarks_overlays,accuracy,Small Multiples,I felt more in control of the task and it was much easier to follow the instructions and implement them.
44,smallmultiples_shadowmarks_overlays,preference,Overlays,"I felt more challenged and when I got something correct, it made me feel good."
45,shadowmarks_overlays_smallmultiples,speed,,
45,shadowmarks_overlays_smallmultiples,accuracy,,
45,shadowmarks_overlays_smallmultiples,preference,,
46,smallmultiples_shadowmarks_overlays,speed,Shadow Marks,The precision of the red line on all of the plots at once made it easier to compare and identify if there were any higher outliers at a glance.
46,smallmultiples_shadowmarks_overlays,accuracy,Shadow Marks,The thinness of the red line allowed for an exact height comparison of the outliers.
46,smallmultiples_shadowmarks_overlays,preference,Shadow Marks,"This technique was the most efficient, simple to use, and precise of the three. "
47,overlays_shadowmarks_smallmultiples,speed,Small Multiples,the datapoints seemed to stand out more than the other techniques
47,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,the shadow marks gave me the most precise measurements
47,overlays_shadowmarks_smallmultiples,preference,Shadow Marks,"once i understood how to use the shadow marks efficiently, it became the most precise and relatively fast way of finding the largest outlier"
48,shadowmarks_smallmultiples_overlays,speed,Shadow Marks,It allowed me to quickly find the highest outlier in a particular graph.
48,shadowmarks_smallmultiples_overlays,accuracy,Shadow Marks,Allowed me to quickly compare the heights of outliers on opposite sides of the graph.
48,shadowmarks_smallmultiples_overlays,preference,Shadow Marks,"It had the simplest method to it, didn't need to put too much effort into figuring out the answer or learning how to use the tool."
49,shadowmarks_overlays_smallmultiples,speed,,
49,shadowmarks_overlays_smallmultiples,accuracy,,
49,shadowmarks_overlays_smallmultiples,preference,,
50,,speed,,
50,,accuracy,,
50,,preference,,
51,smallmultiples_shadowmarks_overlays,speed,,
51,smallmultiples_shadowmarks_overlays,accuracy,,
51,smallmultiples_shadowmarks_overlays,preference,,
52,overlays_smallmultiples_shadowmarks,speed,Shadow Marks,I could compare the height more accurately across all images
52,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,I could see which marks were better
52,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,it was quicker
53,shadowmarks_overlays_smallmultiples,speed,,
53,shadowmarks_overlays_smallmultiples,accuracy,,
53,shadowmarks_overlays_smallmultiples,preference,,
54,shadowmarks_overlays_smallmultiples,speed,Overlays,Because I could quickly directly compare and eliminate options to narrow it down
54,shadowmarks_overlays_smallmultiples,accuracy,Overlays,Because I could compare them directly to each other
54,shadowmarks_overlays_smallmultiples,preference,Overlays,Because it was the easiest and most efficient
55,shadowmarks_overlays_smallmultiples,speed,Overlays,"Overlays allowed for quick comparisons of multiple scatter plots simultaneously, making it easier to identify patterns and differences without switching between separate displays."
55,shadowmarks_overlays_smallmultiples,accuracy,Small Multiples," Small Multiples provided distinct, separate views of each scatter plot, reducing visual clutter and allowing for more precise analysis of individual data points and trends."
55,shadowmarks_overlays_smallmultiples,preference,Overlays," I preferred Overlays for their ability to visually combine multiple datasets in one view, facilitating immediate comparisons while still maintaining some context from the underlying plots."
56,overlays_smallmultiples_shadowmarks,speed,Shadow Marks,Comparison of all images simultaneously
56,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,Comparison of all images simultaneously
56,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,Comparison of all images simultaneously
57,shadowmarks_overlays_smallmultiples,speed,,
57,shadowmarks_overlays_smallmultiples,accuracy,,
57,shadowmarks_overlays_smallmultiples,preference,,
58,smallmultiples_overlays_shadowmarks,speed,Shadow Marks,It allowed a direct and real time comparison across all images.
58,smallmultiples_overlays_shadowmarks,accuracy,Shadow Marks,The lines allowed me to see if any marks were higher or lower.
58,smallmultiples_overlays_shadowmarks,preference,Shadow Marks,It was the easiest for comparisons.
59,shadowmarks_overlays_smallmultiples,speed,Shadow Marks,Because it was easier to see any higher outliers
59,shadowmarks_overlays_smallmultiples,accuracy,Shadow Marks,Because I didn't have to guess
59,shadowmarks_overlays_smallmultiples,preference,Shadow Marks,"For me, this way was the easiest to complete the task."
60,overlays_shadowmarks_smallmultiples,speed,Shadow Marks,It was a lot easier to see what was above the line and which ones were not.
60,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,It showed the same line on each one which was easier to see with the naked eye.
60,overlays_shadowmarks_smallmultiples,preference,Shadow Marks,It was a lot easier to see and understand than the other ones.
61,shadowmarks_overlays_smallmultiples,speed,Small Multiples,"It felt like it was quite easy without the help of extra tools to work these out, however I do feel like these examples were a bit more spaced out."
61,shadowmarks_overlays_smallmultiples,accuracy,Shadow Marks,"It allowed me to specifically see at the same time across each box where the dots were specifically, and looking at it in a clear fashion allowed me to get through it quicker."
61,shadowmarks_overlays_smallmultiples,preference,Shadow Marks,Just more convenient and allowed me to work with accuracy to find the highest outlier.
62,smallmultiples_shadowmarks_overlays,speed,,
62,smallmultiples_shadowmarks_overlays,accuracy,,
62,smallmultiples_shadowmarks_overlays,preference,,
63,smallmultiples_overlays_shadowmarks,speed,Shadow Marks,I was allowed to see the guide lines in all of the videos.
63,smallmultiples_overlays_shadowmarks,accuracy,Shadow Marks,"Since I was able to see all videos with the guidlines, it made it easier for me to see."
63,smallmultiples_overlays_shadowmarks,preference,Shadow Marks,"It made it easier to see what I was doing, unlike the other two."
64,smallmultiples_shadowmarks_overlays,speed,Overlays,"Allowed me to more directly compare different scatterplots, which led to fewer incorrect guesses and confusion"
64,smallmultiples_shadowmarks_overlays,accuracy,Overlays,Putting the scatterplots right with each other allowed less noise to make it into my evaluation
64,smallmultiples_shadowmarks_overlays,preference,Overlays,"Led to more correct guesses, and even when they were wrong I had a good idea of which ones were likely right instead. With the others I at times had to guess more than a few times which was frustrating"
65,overlays_smallmultiples_shadowmarks,speed,,
65,overlays_smallmultiples_shadowmarks,accuracy,,
65,overlays_smallmultiples_shadowmarks,preference,,
66,shadowmarks_smallmultiples_overlays,speed,,
66,shadowmarks_smallmultiples_overlays,accuracy,,
66,shadowmarks_smallmultiples_overlays,preference,,
67,smallmultiples_shadowmarks_overlays,speed,,
67,smallmultiples_shadowmarks_overlays,accuracy,,
67,smallmultiples_shadowmarks_overlays,preference,,
68,overlays_smallmultiples_shadowmarks,speed,,
68,overlays_smallmultiples_shadowmarks,accuracy,,
68,overlays_smallmultiples_shadowmarks,preference,,
69,overlays_smallmultiples_shadowmarks,speed,,
69,overlays_smallmultiples_shadowmarks,accuracy,,
69,overlays_smallmultiples_shadowmarks,preference,,
70,overlays_smallmultiples_shadowmarks,speed,Shadow Marks,It gave me a fixed point to eliminate squares until i found the highest
70,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,same as above
70,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,it was more visual and easier yo use
71,shadowmarks_smallmultiples_overlays,speed,Overlays,Seeing the scatterplots in the same place allowed me to compare them faster as well as eliminate the wrong ones faster
71,shadowmarks_smallmultiples_overlays,accuracy,Overlays,I was able to compare the scatterplots directly instead of having to look back and forth at them
71,shadowmarks_smallmultiples_overlays,preference,Overlays,It was the easiest to use
72,smallmultiples_shadowmarks_overlays,speed,Small Multiples,simplest
72,smallmultiples_shadowmarks_overlays,accuracy,Small Multiples,simplest
72,smallmultiples_shadowmarks_overlays,preference,Small Multiples,simplest
73,shadowmarks_overlays_smallmultiples,speed,,
73,shadowmarks_overlays_smallmultiples,accuracy,,
73,shadowmarks_overlays_smallmultiples,preference,,
74,shadowmarks_overlays_smallmultiples,speed,Shadow Marks,It was simple to compare this plot with the others as you had a line as the source to compare with the others. Made it visually easier
74,shadowmarks_overlays_smallmultiples,accuracy,Shadow Marks,Shadow Marks again provided me with a line an you can't really guess with a marker pointing on the plot compared to the other 2 methods
74,shadowmarks_overlays_smallmultiples,preference,Small Multiples,"It makes the most sense, and i am a visual learner, so this was best use case for me in this scenario"
75,smallmultiples_overlays_shadowmarks,speed,,
75,smallmultiples_overlays_shadowmarks,accuracy,,
75,smallmultiples_overlays_shadowmarks,preference,,
76,smallmultiples_overlays_shadowmarks,speed,,
76,smallmultiples_overlays_shadowmarks,accuracy,,
76,smallmultiples_overlays_shadowmarks,preference,,
77,smallmultiples_overlays_shadowmarks,speed,,
77,smallmultiples_overlays_shadowmarks,accuracy,,
77,smallmultiples_overlays_shadowmarks,preference,,
78,smallmultiples_overlays_shadowmarks,speed,,
78,smallmultiples_overlays_shadowmarks,accuracy,,
78,smallmultiples_overlays_shadowmarks,preference,,
